,box,area,mat,mass,vol,first,deadline,expected,priority
0,S001-MED-01,S001,医疗物资,3,0.012,True,3600.0,3600,24
1,S001-MED-02,S001,医疗物资,3,0.012,False,,3600,24
2,S001-WAT-01,S001,饮用水,14,0.027,True,3600.0,3600,12
3,S001-WAT-02,S001,饮用水,14,0.027,False,,3600,12
4,S001-WAT-03,S001,饮用水,14,0.027,False,,3600,12
5,S001-WAT-04,S001,饮用水,14,0.027,False,,3600,12
6,S001-WAT-05,S001,饮用水,14,0.027,False,,3600,12
7,S001-WAT-06,S001,饮用水,14,0.027,False,,3600,12
8,S001-WAT-07,S001,饮用水,14,0.027,False,,3600,12
9,S001-WAT-08,S001,饮用水,14,0.027,False,,3600,12
10,S001-FOD-01,S001,应急食品,8,0.028,False,,7200,10
11,S001-FOD-02,S001,应急食品,8,0.028,False,,7200,10
12,S001-FOD-03,S001,应急食品,8,0.028,False,,7200,10
13,S001-HYG-01,S001,生活卫生用品,6,0.035,False,,10800,8
14,S001-HYG-02,S001,生活卫生用品,6,0.035,False,,10800,8
15,S002-MED-01,S002,医疗物资,3,0.012,True,3600.0,3600,24
16,S002-WAT-01,S002,饮用水,14,0.027,True,3600.0,3600,12
17,S002-WAT-02,S002,饮用水,14,0.027,False,,3600,12
18,S002-WAT-03,S002,饮用水,14,0.027,False,,3600,12
19,S002-WAT-04,S002,饮用水,14,0.027,False,,3600,12
20,S002-FOD-01,S002,应急食品,8,0.028,False,,7200,10
21,S002-FOD-02,S002,应急食品,8,0.028,False,,7200,10
22,S002-HYG-01,S002,生活卫生用品,6,0.035,False,,10800,8
23,S003-MED-01,S003,医疗物资,3,0.012,True,7200.0,7200,20
24,S003-WAT-01,S003,饮用水,14,0.027,True,7200.0,7200,10
25,S003-WAT-02,S003,饮用水,14,0.027,False,,7200,10
26,S003-WAT-03,S003,饮用水,14,0.027,False,,7200,10
27,S003-WAT-04,S003,饮用水,14,0.027,False,,7200,10
28,S003-FOD-01,S003,应急食品,8,0.028,False,,10800,8
29,S003-FOD-02,S003,应急食品,8,0.028,False,,10800,8
30,S003-HYG-01,S003,生活卫生用品,6,0.035,False,,14400,6
31,S004-MED-01,S004,医疗物资,3,0.012,True,7200.0,7200,20
32,S004-WAT-01,S004,饮用水,14,0.027,True,7200.0,7200,10
33,S004-WAT-02,S004,饮用水,14,0.027,False,,7200,10
34,S004-WAT-03,S004,饮用水,14,0.027,False,,7200,10
35,S004-FOD-01,S004,应急食品,8,0.028,False,,10800,8
36,S004-HYG-01,S004,生活卫生用品,6,0.035,False,,14400,6
37,S005-MED-01,S005,医疗物资,3,0.012,True,10800.0,10800,16
38,S005-WAT-01,S005,饮用水,14,0.027,True,10800.0,10800,8
39,S005-WAT-02,S005,饮用水,14,0.027,False,,10800,8
40,S005-WAT-03,S005,饮用水,14,0.027,False,,10800,8
41,S005-FOD-01,S005,应急食品,8,0.028,False,,14400,6
42,S005-HYG-01,S005,生活卫生用品,6,0.035,False,,18000,4
43,S006-MED-01,S006,医疗物资,3,0.012,True,3600.0,3600,24
44,S006-WAT-01,S006,饮用水,14,0.027,True,3600.0,3600,12
45,S006-WAT-02,S006,饮用水,14,0.027,False,,3600,12
46,S006-WAT-03,S006,饮用水,14,0.027,False,,3600,12
47,S006-FOD-01,S006,应急食品,8,0.028,False,,7200,10
48,S006-HYG-01,S006,生活卫生用品,6,0.035,False,,10800,8
49,S007-MED-01,S007,医疗物资,3,0.012,True,3600.0,3600,24
50,S007-WAT-01,S007,饮用水,14,0.027,True,3600.0,3600,12
51,S007-WAT-02,S007,饮用水,14,0.027,False,,3600,12
52,S007-FOD-01,S007,应急食品,8,0.028,False,,7200,10
53,S007-HYG-01,S007,生活卫生用品,6,0.035,False,,10800,8
54,S008-MED-01,S008,医疗物资,3,0.012,True,7200.0,7200,20
