,rule,area,sortie,mass_slack,volume_slack,energy_slack,return_soc
0,R1,S001,1,4,0.091,3.482417686563127,0.6353022108203908
1,R1,S001,2,2,0.015000000000000013,3.4042307312617015,0.6255288414077127
2,R1,S002,1,5,0.0059999999999999915,0.4865776846902188,0.32164442117255465
3,R1,S002,2,24,0.10599999999999998,0.678775269669381,0.2848469087086726
4,R1,S003,1,5,0.0059999999999999915,0.42008247853734737,0.3050206196343368
5,R1,S003,2,24,0.10599999999999998,0.6350347706659942,0.27937934633324923
6,R1,S004,1,21,0.094,0.2470679808439762,0.23088349760549698
7,R1,S005,1,21,0.094,2.1778071416965545,0.4722258927120693
8,R1,S006,1,21,0.094,3.802012130441475,0.6752515163051843
9,R1,S007,1,35,0.121,2.9891055932160846,0.5736381991520105
10,R1,S008,1,35,0.121,0.5639882635298514,0.2704985329412314
11,R1,S009,1,5,0.0059999999999999915,1.1037662506886186,0.4759415626721546
12,R1,S010,1,5,0.0059999999999999915,1.3768042919386296,0.5442010729846574
13,R1,S011,1,5,0.0059999999999999915,2.126048233043978,0.7315120582609944
14,R1,S012,1,5,0.0059999999999999915,0.44758563744458213,0.3118964093611455
15,R1,S013,1,5,0.0059999999999999915,1.3752407111082887,0.5438101777770721
16,R1,S014,1,5,0.0059999999999999915,1.059611507160282,0.4649028767900705
17,R1,S015,1,5,0.0059999999999999915,0.8925471433601393,0.4231367858400348
18,R2,S001,1,4,0.091,3.482417686563127,0.6353022108203908
19,R2,S001,2,2,0.015000000000000013,3.4042307312617015,0.6255288414077127
20,R2,S002,1,5,0.0059999999999999915,0.4865776846902188,0.32164442117255465
21,R2,S002,2,24,0.10599999999999998,0.678775269669381,0.2848469087086726
22,R2,S003,1,5,0.0059999999999999915,0.42008247853734737,0.3050206196343368
23,R2,S003,2,24,0.10599999999999998,0.6350347706659942,0.27937934633324923
24,R2,S004,1,21,0.094,0.2470679808439762,0.23088349760549698
25,R2,S005,1,21,0.094,2.1778071416965545,0.4722258927120693
26,R2,S006,1,21,0.094,3.802012130441475,0.6752515163051843
27,R2,S007,1,35,0.121,2.9891055932160846,0.5736381991520105
28,R2,S008,1,5,0.0059999999999999915,0.22478346107118163,0.25619586526779536
29,R2,S008,2,10,0.010999999999999996,0.436558733081847,0.3091396832704617
30,R2,S009,1,5,0.0059999999999999915,1.1037662506886186,0.4759415626721546
31,R2,S010,1,5,0.0059999999999999915,1.3768042919386296,0.5442010729846574
32,R2,S011,1,5,0.0059999999999999915,2.126048233043978,0.7315120582609944
33,R2,S012,1,5,0.0059999999999999915,0.44758563744458213,0.3118964093611455
34,R2,S013,1,5,0.0059999999999999915,1.3752407111082887,0.5438101777770721
35,R2,S014,1,5,0.0059999999999999915,1.059611507160282,0.4649028767900705
36,R2,S015,1,5,0.0059999999999999915,0.8925471433601393,0.4231367858400348
37,R3,S001,1,4,0.091,3.482417686563127,0.6353022108203908
38,R3,S001,2,2,0.015000000000000013,3.4042307312617015,0.6255288414077127
39,R3,S002,1,5,0.0059999999999999915,0.4865776846902188,0.32164442117255465
40,R3,S002,2,24,0.10599999999999998,0.678775269669381,0.2848469087086726
41,R3,S003,1,5,0.0059999999999999915,0.42008247853734737,0.3050206196343368
42,R3,S003,2,24,0.10599999999999998,0.6350347706659942,0.27937934633324923
43,R3,S004,1,21,0.094,0.2470679808439762,0.23088349760549698
44,R3,S005,1,21,0.094,2.1778071416965545,0.4722258927120693
45,R3,S006,1,21,0.094,3.802012130441475,0.6752515163051843
46,R3,S007,1,35,0.121,2.9891055932160846,0.5736381991520105
47,R3,S008,1,35,0.121,0.5639882635298514,0.2704985329412314
48,R3,S009,1,5,0.0059999999999999915,1.1037662506886186,0.4759415626721546
49,R3,S010,1,5,0.0059999999999999915,1.3768042919386296,0.5442010729846574
50,R3,S011,1,5,0.0059999999999999915,2.126048233043978,0.7315120582609944
51,R3,S012,1,5,0.0059999999999999915,0.44758563744458213,0.3118964093611455
52,R3,S013,1,5,0.0059999999999999915,1.3752407111082887,0.5438101777770721
53,R3,S014,1,5,0.0059999999999999915,1.059611507160282,0.4649028767900705
54,R3,S015,1,5,0.0059999999999999915,0.8925471433601393,0.4231367858400348
55,R4,S001,1,4,0.091,3.482417686563127,0.6353022108203908
56,R4,S001,2,2,0.015000000000000013,3.4042307312617015,0.6255288414077127
57,R4,S002,1,5,0.0059999999999999915,0.4865776846902188,0.32164442117255465
58,R4,S002,2,24,0.10599999999999998,0.678775269669381,0.2848469087086726
59,R4,S003,1,5,0.0059999999999999915,0.42008247853734737,0.3050206196343368
60,R4,S003,2,24,0.10599999999999998,0.6350347706659942,0.27937934633324923
61,R4,S004,1,21,0.094,0.2470679808439762,0.23088349760549698
62,R4,S005,1,21,0.094,2.1778071416965545,0.4722258927120693
63,R4,S006,1,21,0.094,3.802012130441475,0.6752515163051843
64,R4,S007,1,35,0.121,2.9891055932160846,0.5736381991520105
65,R4,S008,1,35,0.121,0.5639882635298514,0.2704985329412314
66,R4,S009,1,5,0.0059999999999999915,1.1037662506886186,0.4759415626721546
67,R4,S010,1,5,0.0059999999999999915,1.3768042919386296,0.5442010729846574
68,R4,S011,1,5,0.0059999999999999915,2.126048233043978,0.7315120582609944
69,R4,S012,1,5,0.0059999999999999915,0.44758563744458213,0.3118964093611455
70,R4,S013,1,5,0.0059999999999999915,1.3752407111082887,0.5438101777770721
71,R4,S014,1,5,0.0059999999999999915,1.059611507160282,0.4649028767900705
72,R4,S015,1,5,0.0059999999999999915,0.8925471433601393,0.4231367858400348
