area,name,d,n_cells,zmax,Hc,hup_out,hdn_out,hup_ret,hdn_ret,s_max
S001,平旺、那龙、镇龙乡,3053.9788498734906,136,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,89.05661010742188,145.3566101074219,1935.6826712603981
S002,上良,7411.310533636496,323,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,89.45425415039062,181.25425415039064,6239.569102726356
S003,六造、那旭、都长,7263.179407310637,338,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,223.30413818359375,434.10413818359376,3347.860765001467
S004,大站,7714.696449438375,276,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,169.9391662597656,270.53916625976564,5914.158197308282
S005,上良、古律、那麓,5280.606935319278,181,276.410888671875,326.410888671875,198.710888671875,131.410888671875,131.410888671875,198.710888671875,3368.77623887594
S006,六昌、木路,3186.2081844118425,116,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,51.29783935546874,238.39783935546876,2822.2470446663224
S007,佛子、那桑、银坑,4534.460604757262,213,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,163.47317504882812,384.27317504882814,3303.9404327644106
S008,古麻、大站,8079.033147823322,321,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,102.00933227539065,245.20933227539064,7752.106312479272
S009,那龙,5705.145004228559,253,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,63.228912353515625,165.52891235351564,4918.513458828602
S010,镇龙乡,4784.49487974718,203,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,84.03653564453123,307.93653564453126,4032.1193658236475
S011,那从,2808.0742369671134,123,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,83.26175537109376,167.66175537109376,2185.4694735975336
S012,镇龙乡,7390.491866657148,354,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,133.50099487304686,285.6009948730469,6108.1756457065585
S013,镇龙乡,4849.242423912845,228,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,47.48182373046876,271.48182373046876,4641.197362455451
S014,镇龙乡,5419.601888460409,203,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,240.9473876953125,464.2473876953125,4736.610320068695
S015,六造、那托、那旭,6009.383062809717,286,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,97.29925537109375,444.09925537109376,4571.425375303113
