,area,objective,dp,milp,gap
0,S001,N,2.0,2.0,0.0
1,S001,E,5.9133515821751725,5.9133515821751725,0.0
2,S001,T_s,3186.338156352983,3186.338156352983,0.0
3,S002,N,2.0,2.0,0.0
4,S002,E,8.4346470456404,8.4346470456404,0.0
5,S002,T_s,3858.5067058610084,3858.5067058610084,0.0
6,S003,N,2.0,2.0,0.0
7,S003,E,8.544882750796658,8.544882750796658,0.0
8,S003,T_s,4450.614693349243,4450.614693349243,0.0
9,S004,N,1.0,1.0,0.0
10,S004,E,6.152932019156024,6.152932019156024,0.0
11,S004,T_s,2301.056692526028,2301.056692526028,0.0
12,S005,N,1.0,1.0,0.0
13,S005,E,4.222192858303446,4.222192858303446,0.0
14,S005,T_s,1877.190524318612,1877.190524318612,0.0
15,S006,N,1.0,1.0,0.0
16,S006,E,2.597987869558525,2.5979878695585255,0.0
17,S006,T_s,1561.5538687614228,1561.5538687614228,0.0
18,S007,N,1.0,1.0,0.0
19,S007,E,3.4108944067839158,3.4108944067839158,0.0
20,S007,T_s,1907.566462388859,1907.566462388859,0.0
21,S008,N,1.0,1.0,0.0
22,S008,E,5.738657805846971,5.738657805846971,0.0
23,S008,T_s,2199.7012178054792,2199.7012178054792,0.0
24,S009,N,1.0,1.0,0.0
25,S009,E,2.0962337493113816,2.096233749311381,0.0
26,S009,T_s,1558.4417386822975,1558.4417386822975,0.0
27,S010,N,1.0,1.0,0.0
28,S010,E,1.8231957080613705,1.8231957080613705,0.0
29,S010,T_s,1555.3795695782699,1555.3795695782699,0.0
30,S011,N,1.0,1.0,0.0
31,S011,E,1.0739517669560221,1.0739517669560221,0.0
32,S011,T_s,1188.4204728065527,1188.4204728065527,0.0
33,S012,N,1.0,1.0,0.0
34,S012,E,2.7524143625554176,2.7524143625554176,0.0
35,S012,T_s,1922.7403747014218,1922.7403747014218,0.0
36,S013,N,1.0,1.0,0.0
37,S013,E,1.8247592888917115,1.8247592888917115,0.0
38,S013,T_s,1510.4723313264,1510.4723313264,0.0
39,S014,N,1.0,1.0,0.0
40,S014,E,2.140388492839718,2.140388492839718,0.0
41,S014,T_s,1869.7564204145128,1869.7564204145128,0.0
42,S015,N,1.0,1.0,0.0
43,S015,E,2.3074528566398604,2.3074528566398604,0.0
44,S015,T_s,1828.2766495855662,1828.2766495855662,0.0
