area,g,qmax,error
S001,A,25.0,0.0
S001,B,30.0,0.0
S001,C,80.0,0.0
S002,A,25.0,0.0
S002,B,30.0,0.0
S002,C,68.86034171535637,0.0
S003,A,25.0,0.0
S003,B,30.0,0.0
S003,C,68.20648858510404,1.4210854715202004e-14
S004,A,25.0,0.0
S004,B,30.0,0.0
S004,C,63.69695544658901,-5.044853423896711e-13
S005,A,25.0,0.0
S005,B,30.0,0.0
S005,C,80.0,0.0
S006,A,25.0,0.0
S006,B,30.0,0.0
S006,C,80.0,0.0
S007,A,25.0,0.0
S007,B,30.0,0.0
S007,C,80.0,0.0
S008,A,25.0,0.0
S008,B,28.801233427041545,-1.0658141036401503e-14
S008,C,58.90436041943551,-4.263256414560601e-13
S009,A,25.0,0.0
S009,B,30.0,0.0
S009,C,80.0,0.0
S010,A,25.0,0.0
S010,B,30.0,0.0
S010,C,80.0,0.0
S011,A,25.0,0.0
S011,B,30.0,0.0
S011,C,80.0,0.0
S012,A,25.0,0.0
S012,B,30.0,0.0
S012,C,68.11719106783528,1.4210854715202004e-14
S013,A,25.0,0.0
S013,B,30.0,0.0
S013,C,80.0,0.0
S014,A,25.0,0.0
S014,B,30.0,0.0
S014,C,80.0,0.0
S015,A,25.0,0.0
S015,B,30.0,0.0
S015,C,80.0,0.0
