,area,sortie,g,mass,vol,mass_util,vol_util,first_boxes,E,T,T_fly,nbox,boxes
0,S001,1,C,76.0,0.159,0.95,0.636,2,2.9175823134368732,1560.1690781764914,618.1690781764914,7,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05"
1,S001,2,C,78.0,0.23500000000000001,0.975,0.9400000000000001,0,2.9957692687382993,1626.1690781764914,618.1690781764914,8,"S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02"
2,S002,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,2.713422315309781,1816.6943105721057,1186.6943105721057,3,"S002-MED-01,S002-WAT-01,S002-FOD-01"
3,S002,2,C,56.0,0.14400000000000002,0.8132402280471341,0.5760000000000001,0,5.7212247303306185,2041.8123952889027,1231.8123952889027,5,"S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01"
4,S003,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,2.7799175214626524,2080.5233236440226,1450.5233236440226,3,"S003-MED-01,S003-WAT-01,S003-FOD-01"
5,S003,2,C,56.0,0.14400000000000002,0.8210362556654197,0.5760000000000001,0,5.764965229334006,2370.09136970522,1560.0913697052201,5,"S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-FOD-02,S003-HYG-01"
6,S004,1,C,59.0,0.156,0.9262609113158013,0.624,2,6.152932019156024,2301.056692526028,1425.0566925260282,6,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01"
7,S005,1,C,59.0,0.156,0.7375,0.624,2,4.222192858303446,1877.190524318612,1001.190524318612,6,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01"
8,S006,1,C,59.0,0.156,0.7375,0.624,2,2.597987869558525,1561.5538687614228,685.5538687614228,6,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01"
9,S007,1,C,45.0,0.129,0.5625,0.516,2,3.4108944067839158,1907.566462388859,1097.566462388859,5,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01"
10,S008,1,C,45.0,0.129,0.7639502352554517,0.516,2,5.836011736470149,2199.7012178054792,1389.7012178054792,5,"S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01"
11,S009,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,2.0962337493113816,1558.4417386822975,928.4417386822975,3,"S009-MED-01,S009-WAT-01,S009-FOD-01"
12,S010,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,1.8231957080613705,1555.3795695782699,925.3795695782699,3,"S010-MED-01,S010-WAT-01,S010-FOD-01"
13,S011,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,1.0739517669560221,1188.4204728065527,558.4204728065527,3,"S011-MED-01,S011-WAT-01,S011-FOD-01"
14,S012,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,2.7524143625554176,1922.7403747014218,1292.7403747014218,3,"S012-MED-01,S012-WAT-01,S012-FOD-01"
15,S013,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,1.8247592888917115,1510.4723313264,880.4723313264001,3,"S013-MED-01,S013-WAT-01,S013-FOD-01"
16,S014,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,2.140388492839718,1869.7564204145128,1239.7564204145128,3,"S014-MED-01,S014-WAT-01,S014-FOD-01"
17,S015,1,B,25.0,0.067,0.8333333333333334,0.9178082191780823,2,2.3074528566398604,1828.2766495855662,1198.2766495855662,3,"S015-MED-01,S015-WAT-01,S015-FOD-01"
