,rho,rule,complete,missing,N,E,T_h
0,0.05,TNE,True,,18.0,59.131296494139775,9.104448855127403
1,0.05,NET,True,,18.0,59.131296494139775,9.104448855127403
2,0.05,ENT,True,,19.0,59.0339425635166,9.56666042817052
3,0.06,TNE,True,,18.0,59.131296494139775,9.104448855127403
4,0.06,NET,True,,18.0,59.131296494139775,9.104448855127403
5,0.06,ENT,True,,19.0,59.0339425635166,9.56666042817052
6,0.07,TNE,True,,18.0,59.131296494139775,9.104448855127403
7,0.07,NET,True,,18.0,59.131296494139775,9.104448855127403
8,0.07,ENT,True,,19.0,59.0339425635166,9.56666042817052
9,0.08,TNE,True,,18.0,59.131296494139775,9.104448855127403
10,0.08,NET,True,,18.0,59.131296494139775,9.104448855127403
11,0.08,ENT,True,,19.0,59.0339425635166,9.56666042817052
12,0.09,TNE,True,,18.0,59.131296494139775,9.104448855127403
13,0.09,NET,True,,18.0,59.131296494139775,9.104448855127403
14,0.09,ENT,True,,19.0,59.0339425635166,9.56666042817052
15,0.1,TNE,True,,18.0,59.131296494139775,9.104448855127403
16,0.1,NET,True,,18.0,59.131296494139775,9.104448855127403
17,0.1,ENT,True,,19.0,59.0339425635166,9.56666042817052
18,0.11,TNE,True,,18.0,59.131296494139775,9.104448855127403
19,0.11,NET,True,,18.0,59.131296494139775,9.104448855127403
20,0.11,ENT,True,,19.0,59.0339425635166,9.56666042817052
21,0.12,TNE,True,,18.0,59.131296494139775,9.104448855127403
22,0.12,NET,True,,18.0,59.131296494139775,9.104448855127403
23,0.12,ENT,True,,19.0,59.0339425635166,9.56666042817052
24,0.13,TNE,True,,18.0,59.131296494139775,9.104448855127403
25,0.13,NET,True,,18.0,59.131296494139775,9.104448855127403
26,0.13,ENT,True,,19.0,59.0339425635166,9.56666042817052
27,0.14,TNE,True,,18.0,59.131296494139775,9.104448855127403
28,0.14,NET,True,,18.0,59.131296494139775,9.104448855127403
29,0.14,ENT,True,,19.0,59.0339425635166,9.56666042817052
