,rho,area,N
0,0.05,S001,2.0
1,0.05,S002,2.0
2,0.05,S003,2.0
3,0.05,S004,1.0
4,0.05,S005,1.0
5,0.05,S006,1.0
6,0.05,S007,1.0
7,0.05,S008,1.0
8,0.05,S009,1.0
9,0.05,S010,1.0
10,0.05,S011,1.0
11,0.05,S012,1.0
12,0.05,S013,1.0
13,0.05,S014,1.0
14,0.05,S015,1.0
15,0.06,S001,2.0
16,0.06,S002,2.0
17,0.06,S003,2.0
18,0.06,S004,1.0
19,0.06,S005,1.0
20,0.06,S006,1.0
21,0.06,S007,1.0
22,0.06,S008,1.0
23,0.06,S009,1.0
24,0.06,S010,1.0
25,0.06,S011,1.0
26,0.06,S012,1.0
27,0.06,S013,1.0
28,0.06,S014,1.0
29,0.06,S015,1.0
30,0.07,S001,2.0
31,0.07,S002,2.0
32,0.07,S003,2.0
33,0.07,S004,1.0
34,0.07,S005,1.0
35,0.07,S006,1.0
36,0.07,S007,1.0
37,0.07,S008,1.0
38,0.07,S009,1.0
39,0.07,S010,1.0
40,0.07,S011,1.0
41,0.07,S012,1.0
42,0.07,S013,1.0
43,0.07,S014,1.0
44,0.07,S015,1.0
45,0.08,S001,2.0
46,0.08,S002,2.0
47,0.08,S003,2.0
48,0.08,S004,1.0
49,0.08,S005,1.0
50,0.08,S006,1.0
51,0.08,S007,1.0
52,0.08,S008,1.0
53,0.08,S009,1.0
54,0.08,S010,1.0
55,0.08,S011,1.0
56,0.08,S012,1.0
57,0.08,S013,1.0
58,0.08,S014,1.0
59,0.08,S015,1.0
60,0.09,S001,2.0
61,0.09,S002,2.0
62,0.09,S003,2.0
63,0.09,S004,1.0
64,0.09,S005,1.0
65,0.09,S006,1.0
66,0.09,S007,1.0
67,0.09,S008,1.0
68,0.09,S009,1.0
69,0.09,S010,1.0
70,0.09,S011,1.0
71,0.09,S012,1.0
72,0.09,S013,1.0
73,0.09,S014,1.0
74,0.09,S015,1.0
75,0.1,S001,2.0
76,0.1,S002,2.0
77,0.1,S003,2.0
78,0.1,S004,1.0
79,0.1,S005,1.0
80,0.1,S006,1.0
81,0.1,S007,1.0
82,0.1,S008,1.0
83,0.1,S009,1.0
84,0.1,S010,1.0
85,0.1,S011,1.0
86,0.1,S012,1.0
87,0.1,S013,1.0
88,0.1,S014,1.0
89,0.1,S015,1.0
90,0.11,S001,2.0
91,0.11,S002,2.0
92,0.11,S003,2.0
93,0.11,S004,1.0
94,0.11,S005,1.0
95,0.11,S006,1.0
96,0.11,S007,1.0
97,0.11,S008,1.0
98,0.11,S009,1.0
99,0.11,S010,1.0
100,0.11,S011,1.0
101,0.11,S012,1.0
102,0.11,S013,1.0
103,0.11,S014,1.0
104,0.11,S015,1.0
105,0.12,S001,2.0
106,0.12,S002,2.0
107,0.12,S003,2.0
108,0.12,S004,1.0
109,0.12,S005,1.0
110,0.12,S006,1.0
111,0.12,S007,1.0
112,0.12,S008,1.0
113,0.12,S009,1.0
114,0.12,S010,1.0
115,0.12,S011,1.0
116,0.12,S012,1.0
117,0.12,S013,1.0
118,0.12,S014,1.0
119,0.12,S015,1.0
120,0.13,S001,2.0
121,0.13,S002,2.0
122,0.13,S003,2.0
123,0.13,S004,1.0
124,0.13,S005,1.0
125,0.13,S006,1.0
126,0.13,S007,1.0
127,0.13,S008,1.0
128,0.13,S009,1.0
129,0.13,S010,1.0
130,0.13,S011,1.0
131,0.13,S012,1.0
132,0.13,S013,1.0
133,0.13,S014,1.0
134,0.13,S015,1.0
135,0.14,S001,2.0
136,0.14,S002,2.0
137,0.14,S003,2.0
138,0.14,S004,1.0
139,0.14,S005,1.0
140,0.14,S006,1.0
141,0.14,S007,1.0
142,0.14,S008,1.0
143,0.14,S009,1.0
144,0.14,S010,1.0
145,0.14,S011,1.0
146,0.14,S012,1.0
147,0.14,S013,1.0
148,0.14,S014,1.0
149,0.14,S015,1.0
150,0.15,S001,2.0
151,0.15,S002,2.0
152,0.15,S003,2.0
153,0.15,S004,1.0
154,0.15,S005,1.0
155,0.15,S006,1.0
156,0.15,S007,1.0
157,0.15,S008,1.0
158,0.15,S009,1.0
159,0.15,S010,1.0
160,0.15,S011,1.0
161,0.15,S012,1.0
162,0.15,S013,1.0
163,0.15,S014,1.0
164,0.15,S015,1.0
165,0.16,S001,2.0
166,0.16,S002,2.0
167,0.16,S003,2.0
168,0.16,S004,1.0
169,0.16,S005,1.0
170,0.16,S006,1.0
171,0.16,S007,1.0
172,0.16,S008,1.0
173,0.16,S009,1.0
174,0.16,S010,1.0
175,0.16,S011,1.0
176,0.16,S012,1.0
177,0.16,S013,1.0
178,0.16,S014,1.0
179,0.16,S015,1.0
180,0.17,S001,2.0
181,0.17,S002,2.0
182,0.17,S003,2.0
183,0.17,S004,1.0
184,0.17,S005,1.0
185,0.17,S006,1.0
186,0.17,S007,1.0
187,0.17,S008,1.0
188,0.17,S009,1.0
189,0.17,S010,1.0
190,0.17,S011,1.0
191,0.17,S012,1.0
192,0.17,S013,1.0
193,0.17,S014,1.0
194,0.17,S015,1.0
195,0.18,S001,2.0
196,0.18,S002,2.0
197,0.18,S003,2.0
198,0.18,S004,1.0
199,0.18,S005,1.0
200,0.18,S006,1.0
201,0.18,S007,1.0
202,0.18,S008,1.0
203,0.18,S009,1.0
204,0.18,S010,1.0
205,0.18,S011,1.0
206,0.18,S012,1.0
207,0.18,S013,1.0
208,0.18,S014,1.0
209,0.18,S015,1.0
210,0.19,S001,2.0
211,0.19,S002,2.0
212,0.19,S003,2.0
213,0.19,S004,1.0
214,0.19,S005,1.0
215,0.19,S006,1.0
216,0.19,S007,1.0
217,0.19,S008,1.0
218,0.19,S009,1.0
219,0.19,S010,1.0
220,0.19,S011,1.0
221,0.19,S012,1.0
222,0.19,S013,1.0
223,0.19,S014,1.0
224,0.19,S015,1.0
225,0.2,S001,2.0
226,0.2,S002,2.0
227,0.2,S003,2.0
228,0.2,S004,1.0
229,0.2,S005,1.0
230,0.2,S006,1.0
231,0.2,S007,1.0
232,0.2,S008,1.0
233,0.2,S009,1.0
234,0.2,S010,1.0
235,0.2,S011,1.0
236,0.2,S012,1.0
237,0.2,S013,1.0
238,0.2,S014,1.0
239,0.2,S015,1.0
240,0.21,S001,2.0
241,0.21,S002,2.0
242,0.21,S003,2.0
243,0.21,S004,1.0
244,0.21,S005,1.0
245,0.21,S006,1.0
246,0.21,S007,1.0
247,0.21,S008,1.0
248,0.21,S009,1.0
249,0.21,S010,1.0
250,0.21,S011,1.0
251,0.21,S012,1.0
252,0.21,S013,1.0
253,0.21,S014,1.0
254,0.21,S015,1.0
255,0.22,S001,2.0
256,0.22,S002,2.0
257,0.22,S003,2.0
258,0.22,S004,1.0
259,0.22,S005,1.0
260,0.22,S006,1.0
261,0.22,S007,1.0
262,0.22,S008,1.0
263,0.22,S009,1.0
264,0.22,S010,1.0
265,0.22,S011,1.0
266,0.22,S012,1.0
267,0.22,S013,1.0
268,0.22,S014,1.0
269,0.22,S015,1.0
270,0.23,S001,2.0
271,0.23,S002,2.0
272,0.23,S003,2.0
273,0.23,S004,1.0
274,0.23,S005,1.0
275,0.23,S006,1.0
276,0.23,S007,1.0
277,0.23,S008,1.0
278,0.23,S009,1.0
279,0.23,S010,1.0
280,0.23,S011,1.0
281,0.23,S012,1.0
282,0.23,S013,1.0
283,0.23,S014,1.0
284,0.23,S015,1.0
285,0.24,S001,2.0
286,0.24,S002,2.0
287,0.24,S003,2.0
288,0.24,S004,2.0
289,0.24,S005,1.0
290,0.24,S006,1.0
291,0.24,S007,1.0
292,0.24,S008,1.0
293,0.24,S009,1.0
294,0.24,S010,1.0
295,0.24,S011,1.0
296,0.24,S012,1.0
297,0.24,S013,1.0
298,0.24,S014,1.0
299,0.24,S015,1.0
300,0.25,S001,2.0
301,0.25,S002,2.0
302,0.25,S003,2.0
303,0.25,S004,2.0
304,0.25,S005,1.0
305,0.25,S006,1.0
306,0.25,S007,1.0
307,0.25,S008,1.0
308,0.25,S009,1.0
309,0.25,S010,1.0
310,0.25,S011,1.0
311,0.25,S012,1.0
312,0.25,S013,1.0
313,0.25,S014,1.0
314,0.25,S015,1.0
315,0.26,S001,2.0
316,0.26,S002,2.0
317,0.26,S003,2.0
318,0.26,S004,2.0
319,0.26,S005,1.0
320,0.26,S006,1.0
321,0.26,S007,1.0
322,0.26,S008,1.0
323,0.26,S009,1.0
324,0.26,S010,1.0
325,0.26,S011,1.0
326,0.26,S012,1.0
327,0.26,S013,1.0
328,0.26,S014,1.0
329,0.26,S015,1.0
330,0.27,S001,2.0
331,0.27,S002,2.0
332,0.27,S003,2.0
333,0.27,S004,2.0
334,0.27,S005,1.0
335,0.27,S006,1.0
336,0.27,S007,1.0
337,0.27,S008,1.0
338,0.27,S009,1.0
339,0.27,S010,1.0
340,0.27,S011,1.0
341,0.27,S012,1.0
342,0.27,S013,1.0
343,0.27,S014,1.0
344,0.27,S015,1.0
345,0.28,S001,2.0
346,0.28,S002,2.0
347,0.28,S003,2.0
348,0.28,S004,2.0
349,0.28,S005,1.0
350,0.28,S006,1.0
351,0.28,S007,1.0
352,0.28,S008,2.0
353,0.28,S009,1.0
354,0.28,S010,1.0
355,0.28,S011,1.0
356,0.28,S012,1.0
357,0.28,S013,1.0
358,0.28,S014,1.0
359,0.28,S015,1.0
360,0.29,S001,2.0
361,0.29,S002,2.0
362,0.29,S003,2.0
363,0.29,S004,2.0
364,0.29,S005,1.0
365,0.29,S006,1.0
366,0.29,S007,1.0
367,0.29,S008,2.0
368,0.29,S009,1.0
369,0.29,S010,1.0
370,0.29,S011,1.0
371,0.29,S012,1.0
372,0.29,S013,1.0
373,0.29,S014,1.0
374,0.29,S015,1.0
375,0.3,S001,2.0
376,0.3,S002,2.0
377,0.3,S003,2.0
378,0.3,S004,2.0
379,0.3,S005,1.0
380,0.3,S006,1.0
381,0.3,S007,1.0
382,0.3,S008,2.0
383,0.3,S009,1.0
384,0.3,S010,1.0
385,0.3,S011,1.0
386,0.3,S012,1.0
387,0.3,S013,1.0
388,0.3,S014,1.0
389,0.3,S015,1.0
390,0.31,S001,2.0
391,0.31,S002,2.0
392,0.31,S003,2.0
393,0.31,S004,2.0
394,0.31,S005,1.0
395,0.31,S006,1.0
396,0.31,S007,1.0
397,0.31,S008,2.0
398,0.31,S009,1.0
399,0.31,S010,1.0
400,0.31,S011,1.0
401,0.31,S012,1.0
402,0.31,S013,1.0
403,0.31,S014,1.0
404,0.31,S015,1.0
405,0.32,S001,2.0
406,0.32,S002,2.0
407,0.32,S003,2.0
408,0.32,S004,2.0
409,0.32,S005,1.0
410,0.32,S006,1.0
411,0.32,S007,1.0
412,0.32,S008,2.0
413,0.32,S009,1.0
414,0.32,S010,1.0
415,0.32,S011,1.0
416,0.32,S012,1.0
417,0.32,S013,1.0
418,0.32,S014,1.0
419,0.32,S015,1.0
420,0.33,S001,2.0
421,0.33,S002,2.0
422,0.33,S003,2.0
423,0.33,S004,2.0
424,0.33,S005,1.0
425,0.33,S006,1.0
426,0.33,S007,1.0
427,0.33,S008,2.0
428,0.33,S009,1.0
429,0.33,S010,1.0
430,0.33,S011,1.0
431,0.33,S012,1.0
432,0.33,S013,1.0
433,0.33,S014,1.0
434,0.33,S015,1.0
435,0.34,S001,2.0
436,0.34,S002,2.0
437,0.34,S003,3.0
438,0.34,S004,2.0
439,0.34,S005,1.0
440,0.34,S006,1.0
441,0.34,S007,1.0
442,0.34,S008,3.0
443,0.34,S009,1.0
444,0.34,S010,1.0
445,0.34,S011,1.0
446,0.34,S012,1.0
447,0.34,S013,1.0
448,0.34,S014,1.0
449,0.34,S015,1.0
450,0.35,S001,2.0
451,0.35,S002,3.0
452,0.35,S003,3.0
453,0.35,S004,3.0
454,0.35,S005,1.0
455,0.35,S006,1.0
456,0.35,S007,1.0
457,0.35,S008,4.0
458,0.35,S009,1.0
459,0.35,S010,1.0
460,0.35,S011,1.0
461,0.35,S012,1.0
462,0.35,S013,1.0
463,0.35,S014,1.0
464,0.35,S015,1.0
465,0.36,S001,2.0
466,0.36,S002,3.0
467,0.36,S003,3.0
468,0.36,S004,3.0
469,0.36,S005,1.0
470,0.36,S006,1.0
471,0.36,S007,1.0
