,rho,area,g,qmax
0,0.05,S001,A,25.0
1,0.05,S001,B,30.0
2,0.05,S001,C,80.0
3,0.05,S002,A,25.0
4,0.05,S002,B,30.0
5,0.05,S002,C,80.0
6,0.05,S003,A,25.0
7,0.05,S003,B,30.0
8,0.05,S003,C,80.0
9,0.05,S004,A,25.0
10,0.05,S004,B,30.0
11,0.05,S004,C,78.95793893951398
12,0.05,S005,A,25.0
13,0.05,S005,B,30.0
14,0.05,S005,C,80.0
15,0.05,S006,A,25.0
16,0.05,S006,B,30.0
17,0.05,S006,C,80.0
18,0.05,S007,A,25.0
19,0.05,S007,B,30.0
20,0.05,S007,C,80.0
21,0.05,S008,A,25.0
22,0.05,S008,B,30.0
23,0.05,S008,C,75.93946362561698
24,0.05,S009,A,25.0
25,0.05,S009,B,30.0
26,0.05,S009,C,80.0
27,0.05,S010,A,25.0
28,0.05,S010,B,30.0
29,0.05,S010,C,80.0
30,0.05,S011,A,25.0
31,0.05,S011,B,30.0
32,0.05,S011,C,80.0
33,0.05,S012,A,25.0
34,0.05,S012,B,30.0
35,0.05,S012,C,80.0
36,0.05,S013,A,25.0
37,0.05,S013,B,30.0
38,0.05,S013,C,80.0
39,0.05,S014,A,25.0
40,0.05,S014,B,30.0
41,0.05,S014,C,80.0
42,0.05,S015,A,25.0
43,0.05,S015,B,30.0
44,0.05,S015,C,80.0
45,0.06,S001,A,25.0
46,0.06,S001,B,30.0
47,0.06,S001,C,80.0
48,0.06,S002,A,25.0
49,0.06,S002,B,30.0
50,0.06,S002,C,80.0
51,0.06,S003,A,25.0
52,0.06,S003,B,30.0
53,0.06,S003,C,80.0
54,0.06,S004,A,25.0
55,0.06,S004,B,30.0
56,0.06,S004,C,78.20285420566314
57,0.06,S005,A,25.0
58,0.06,S005,B,30.0
59,0.06,S005,C,80.0
60,0.06,S006,A,25.0
61,0.06,S006,B,30.0
62,0.06,S006,C,80.0
63,0.06,S007,A,25.0
64,0.06,S007,B,30.0
65,0.06,S007,C,80.0
66,0.06,S008,A,25.0
67,0.06,S008,B,30.0
68,0.06,S008,C,75.10735706198622
69,0.06,S009,A,25.0
70,0.06,S009,B,30.0
71,0.06,S009,C,80.0
72,0.06,S010,A,25.0
73,0.06,S010,B,30.0
74,0.06,S010,C,80.0
75,0.06,S011,A,25.0
76,0.06,S011,B,30.0
77,0.06,S011,C,80.0
78,0.06,S012,A,25.0
79,0.06,S012,B,30.0
80,0.06,S012,C,80.0
81,0.06,S013,A,25.0
82,0.06,S013,B,30.0
83,0.06,S013,C,80.0
84,0.06,S014,A,25.0
85,0.06,S014,B,30.0
86,0.06,S014,C,80.0
87,0.06,S015,A,25.0
88,0.06,S015,B,30.0
89,0.06,S015,C,80.0
90,0.07,S001,A,25.0
91,0.07,S001,B,30.0
92,0.07,S001,C,80.0
93,0.07,S002,A,25.0
94,0.07,S002,B,30.0
95,0.07,S002,C,80.0
96,0.07,S003,A,25.0
97,0.07,S003,B,30.0
98,0.07,S003,C,80.0
99,0.07,S004,A,25.0
100,0.07,S004,B,30.0
101,0.07,S004,C,77.41964906275597
102,0.07,S005,A,25.0
103,0.07,S005,B,30.0
104,0.07,S005,C,80.0
105,0.07,S006,A,25.0
106,0.07,S006,B,30.0
107,0.07,S006,C,80.0
108,0.07,S007,A,25.0
109,0.07,S007,B,30.0
110,0.07,S007,C,80.0
111,0.07,S008,A,25.0
112,0.07,S008,B,30.0
113,0.07,S008,C,74.24320524736504
114,0.07,S009,A,25.0
115,0.07,S009,B,30.0
116,0.07,S009,C,80.0
117,0.07,S010,A,25.0
118,0.07,S010,B,30.0
119,0.07,S010,C,80.0
120,0.07,S011,A,25.0
121,0.07,S011,B,30.0
122,0.07,S011,C,80.0
123,0.07,S012,A,25.0
124,0.07,S012,B,30.0
125,0.07,S012,C,80.0
126,0.07,S013,A,25.0
127,0.07,S013,B,30.0
128,0.07,S013,C,80.0
129,0.07,S014,A,25.0
130,0.07,S014,B,30.0
131,0.07,S014,C,80.0
132,0.07,S015,A,25.0
133,0.07,S015,B,30.0
134,0.07,S015,C,80.0
135,0.08,S001,A,25.0
136,0.08,S001,B,30.0
137,0.08,S001,C,80.0
138,0.08,S002,A,25.0
139,0.08,S002,B,30.0
140,0.08,S002,C,80.0
141,0.08,S003,A,25.0
142,0.08,S003,B,30.0
143,0.08,S003,C,79.79161998772881
144,0.08,S004,A,25.0
145,0.08,S004,B,30.0
146,0.08,S004,C,76.60668801675921
147,0.08,S005,A,25.0
148,0.08,S005,B,30.0
149,0.08,S005,C,80.0
150,0.08,S006,A,25.0
151,0.08,S006,B,30.0
152,0.08,S006,C,80.0
153,0.08,S007,A,25.0
154,0.08,S007,B,30.0
155,0.08,S007,C,80.0
156,0.08,S008,A,25.0
157,0.08,S008,B,30.0
158,0.08,S008,C,73.34506500914755
159,0.08,S009,A,25.0
160,0.08,S009,B,30.0
161,0.08,S009,C,80.0
162,0.08,S010,A,25.0
163,0.08,S010,B,30.0
164,0.08,S010,C,80.0
165,0.08,S011,A,25.0
166,0.08,S011,B,30.0
167,0.08,S011,C,80.0
168,0.08,S012,A,25.0
169,0.08,S012,B,30.0
170,0.08,S012,C,79.6447031543612
171,0.08,S013,A,25.0
172,0.08,S013,B,30.0
173,0.08,S013,C,80.0
174,0.08,S014,A,25.0
175,0.08,S014,B,30.0
176,0.08,S014,C,80.0
177,0.08,S015,A,25.0
178,0.08,S015,B,30.0
179,0.08,S015,C,80.0
180,0.09,S001,A,25.0
181,0.09,S001,B,30.0
182,0.09,S001,C,80.0
183,0.09,S002,A,25.0
184,0.09,S002,B,30.0
185,0.09,S002,C,79.36709922413611
186,0.09,S003,A,25.0
187,0.09,S003,B,30.0
188,0.09,S003,C,79.02613517081053
189,0.09,S004,A,25.0
190,0.09,S004,B,30.0
191,0.09,S004,C,75.7622023510067
192,0.09,S005,A,25.0
193,0.09,S005,B,30.0
194,0.09,S005,C,80.0
195,0.09,S006,A,25.0
196,0.09,S006,B,30.0
197,0.09,S006,C,80.0
198,0.09,S007,A,25.0
199,0.09,S007,B,30.0
200,0.09,S007,C,80.0
201,0.09,S008,A,25.0
202,0.09,S008,B,30.0
203,0.09,S008,C,72.41082636207194
204,0.09,S009,A,25.0
205,0.09,S009,B,30.0
206,0.09,S009,C,80.0
207,0.09,S010,A,25.0
208,0.09,S010,B,30.0
209,0.09,S010,C,80.0
210,0.09,S011,A,25.0
211,0.09,S011,B,30.0
212,0.09,S011,C,80.0
213,0.09,S012,A,25.0
214,0.09,S012,B,30.0
215,0.09,S012,C,78.88283090227183
216,0.09,S013,A,25.0
217,0.09,S013,B,30.0
218,0.09,S013,C,80.0
219,0.09,S014,A,25.0
220,0.09,S014,B,30.0
221,0.09,S014,C,80.0
222,0.09,S015,A,25.0
223,0.09,S015,B,30.0
224,0.09,S015,C,80.0
225,0.1,S001,A,25.0
226,0.1,S001,B,30.0
227,0.1,S001,C,80.0
228,0.1,S002,A,25.0
229,0.1,S002,B,30.0
230,0.1,S002,C,78.59389513643364
231,0.1,S003,A,25.0
232,0.1,S003,B,30.0
233,0.1,S003,C,78.2313735788506
234,0.1,S004,A,25.0
235,0.1,S004,B,30.0
236,0.1,S004,C,74.88427573580033
237,0.1,S005,A,25.0
238,0.1,S005,B,30.0
239,0.1,S005,C,80.0
240,0.1,S006,A,25.0
241,0.1,S006,B,30.0
242,0.1,S006,C,80.0
243,0.1,S007,A,25.0
244,0.1,S007,B,30.0
245,0.1,S007,C,80.0
246,0.1,S008,A,25.0
247,0.1,S008,B,30.0
248,0.1,S008,C,71.43819327111835
249,0.1,S009,A,25.0
250,0.1,S009,B,30.0
251,0.1,S009,C,80.0
252,0.1,S010,A,25.0
253,0.1,S010,B,30.0
254,0.1,S010,C,80.0
255,0.1,S011,A,25.0
256,0.1,S011,B,30.0
257,0.1,S011,C,80.0
258,0.1,S012,A,25.0
259,0.1,S012,B,30.0
260,0.1,S012,C,78.09189042574637
261,0.1,S013,A,25.0
262,0.1,S013,B,30.0
263,0.1,S013,C,80.0
264,0.1,S014,A,25.0
265,0.1,S014,B,30.0
266,0.1,S014,C,80.0
267,0.1,S015,A,25.0
268,0.1,S015,B,30.0
269,0.1,S015,C,80.0
270,0.11,S001,A,25.0
271,0.11,S001,B,30.0
272,0.11,S001,C,80.0
273,0.11,S002,A,25.0
274,0.11,S002,B,30.0
275,0.11,S002,C,77.79081720359738
276,0.11,S003,A,25.0
277,0.11,S003,B,30.0
278,0.11,S003,C,77.4056000628716
279,0.11,S004,A,25.0
280,0.11,S004,B,30.0
281,0.11,S004,C,73.97082784006435
282,0.11,S005,A,25.0
283,0.11,S005,B,30.0
284,0.11,S005,C,80.0
285,0.11,S006,A,25.0
286,0.11,S006,B,30.0
287,0.11,S006,C,80.0
288,0.11,S007,A,25.0
289,0.11,S007,B,30.0
290,0.11,S007,C,80.0
291,0.11,S008,A,25.0
292,0.11,S008,B,30.0
293,0.11,S008,C,70.42466152299774
294,0.11,S009,A,25.0
295,0.11,S009,B,30.0
296,0.11,S009,C,80.0
297,0.11,S010,A,25.0
298,0.11,S010,B,30.0
299,0.11,S010,C,80.0
300,0.11,S011,A,25.0
301,0.11,S011,B,30.0
302,0.11,S011,C,80.0
303,0.11,S012,A,25.0
304,0.11,S012,B,30.0
305,0.11,S012,C,77.27015254375509
306,0.11,S013,A,25.0
307,0.11,S013,B,30.0
308,0.11,S013,C,80.0
309,0.11,S014,A,25.0
310,0.11,S014,B,30.0
311,0.11,S014,C,80.0
312,0.11,S015,A,25.0
313,0.11,S015,B,30.0
314,0.11,S015,C,80.0
315,0.12,S001,A,25.0
316,0.12,S001,B,30.0
317,0.12,S001,C,80.0
318,0.12,S002,A,25.0
319,0.12,S002,B,30.0
320,0.12,S002,C,76.95605718712798
321,0.12,S003,A,25.0
322,0.12,S003,B,30.0
323,0.12,S003,C,76.54693659261184
324,0.12,S004,A,25.0
325,0.12,S004,B,30.0
326,0.12,S004,C,73.01959559577726
327,0.12,S005,A,25.0
328,0.12,S005,B,30.0
329,0.12,S005,C,80.0
330,0.12,S006,A,25.0
331,0.12,S006,B,30.0
332,0.12,S006,C,80.0
333,0.12,S007,A,25.0
334,0.12,S007,B,30.0
335,0.12,S007,C,80.0
336,0.12,S008,A,25.0
337,0.12,S008,B,30.0
338,0.12,S008,C,69.3674931518925
339,0.12,S009,A,25.0
340,0.12,S009,B,30.0
341,0.12,S009,C,80.0
342,0.12,S010,A,25.0
343,0.12,S010,B,30.0
344,0.12,S010,C,80.0
345,0.12,S011,A,25.0
346,0.12,S011,B,30.0
347,0.12,S011,C,80.0
348,0.12,S012,A,25.0
349,0.12,S012,B,30.0
350,0.12,S012,C,76.4157442973916
351,0.12,S013,A,25.0
352,0.12,S013,B,30.0
353,0.12,S013,C,80.0
354,0.12,S014,A,25.0
