,box,area,mat,g,rho_limit
0,S001-MED-01,S001,医疗物资,A,0.740490092594424
1,S001-MED-01,S001,医疗物资,B,0.7655307309232462
2,S001-MED-01,S001,医疗物资,C,0.7566593356891437
3,S001-MED-02,S001,医疗物资,A,0.740490092594424
4,S001-MED-02,S001,医疗物资,B,0.7655307309232462
5,S001-MED-02,S001,医疗物资,C,0.7566593356891437
6,S001-WAT-01,S001,饮用水,A,0.728994280099281
7,S001-WAT-01,S001,饮用水,B,0.7482562985104573
8,S001-WAT-01,S001,饮用水,C,0.7515437390039368
9,S001-WAT-02,S001,饮用水,A,0.728994280099281
10,S001-WAT-02,S001,饮用水,B,0.7482562985104573
11,S001-WAT-02,S001,饮用水,C,0.7515437390039368
12,S001-WAT-03,S001,饮用水,A,0.728994280099281
13,S001-WAT-03,S001,饮用水,B,0.7482562985104573
14,S001-WAT-03,S001,饮用水,C,0.7515437390039368
15,S001-WAT-04,S001,饮用水,A,0.728994280099281
16,S001-WAT-04,S001,饮用水,B,0.7482562985104573
17,S001-WAT-04,S001,饮用水,C,0.7515437390039368
18,S001-WAT-05,S001,饮用水,A,0.728994280099281
19,S001-WAT-05,S001,饮用水,B,0.7482562985104573
20,S001-WAT-05,S001,饮用水,C,0.7515437390039368
21,S001-WAT-06,S001,饮用水,A,0.728994280099281
22,S001-WAT-06,S001,饮用水,B,0.7482562985104573
23,S001-WAT-06,S001,饮用水,C,0.7515437390039368
24,S001-WAT-07,S001,饮用水,A,0.728994280099281
25,S001-WAT-07,S001,饮用水,B,0.7482562985104573
26,S001-WAT-07,S001,饮用水,C,0.7515437390039368
27,S001-WAT-08,S001,饮用水,A,0.728994280099281
28,S001-WAT-08,S001,饮用水,B,0.7482562985104573
29,S001-WAT-08,S001,饮用水,C,0.7515437390039368
30,S001-FOD-01,S001,应急食品,A,0.7363141939008824
31,S001-FOD-01,S001,应急食品,B,0.7595008343313138
32,S001-FOD-01,S001,应急食品,C,0.7547418757966154
33,S001-FOD-02,S001,应急食品,A,0.7363141939008824
34,S001-FOD-02,S001,应急食品,B,0.7595008343313138
35,S001-FOD-02,S001,应急食品,C,0.7547418757966154
36,S001-FOD-03,S001,应急食品,A,0.7363141939008824
37,S001-FOD-03,S001,应急食品,B,0.7595008343313138
38,S001-FOD-03,S001,应急食品,C,0.7547418757966154
39,S001-HYG-01,S001,生活卫生用品,A,0.7382057021846478
40,S001-HYG-01,S001,生活卫生用品,B,0.7622690147114407
41,S001-HYG-01,S001,生活卫生用品,C,0.7556005176004156
42,S001-HYG-02,S001,生活卫生用品,A,0.7382057021846478
43,S001-HYG-02,S001,生活卫生用品,B,0.7622690147114407
44,S001-HYG-02,S001,生活卫生用品,C,0.7556005176004156
45,S002-MED-01,S002,医疗物资,A,0.3882149585825847
46,S002-MED-01,S002,医疗物资,B,0.4498206127540326
47,S002-MED-01,S002,医疗物资,C,0.4195708920634408
48,S002-WAT-01,S002,饮用水,A,0.36190381792946436
49,S002-WAT-01,S002,饮用水,B,0.40968440074477996
50,S002-WAT-01,S002,饮用水,C,0.4080489539060208
51,S002-WAT-02,S002,饮用水,A,0.36190381792946436
52,S002-WAT-02,S002,饮用水,B,0.40968440074477996
53,S002-WAT-02,S002,饮用水,C,0.4080489539060208
54,S002-WAT-03,S002,饮用水,A,0.36190381792946436
55,S002-WAT-03,S002,饮用水,B,0.40968440074477996
56,S002-WAT-03,S002,饮用水,C,0.4080489539060208
57,S002-WAT-04,S002,饮用水,A,0.36190381792946436
58,S002-WAT-04,S002,饮用水,B,0.40968440074477996
59,S002-WAT-04,S002,饮用水,C,0.4080489539060208
60,S002-FOD-01,S002,应急食品,A,0.37880217517530934
61,S002-FOD-01,S002,应急食品,B,0.4359987454109212
62,S002-FOD-01,S002,应急食品,C,0.4153233125815452
63,S002-FOD-02,S002,应急食品,A,0.37880217517530934
64,S002-FOD-02,S002,应急食品,B,0.4359987454109212
65,S002-FOD-02,S002,应急食品,C,0.4153233125815452
66,S002-HYG-01,S002,生活卫生用品,A,0.38310396628176735
67,S002-HYG-01,S002,生活卫生用品,B,0.4423919613208106
68,S002-HYG-01,S002,生活卫生用品,C,0.41724477707563823
69,S003-MED-01,S003,医疗物资,A,0.3767107934347299
70,S003-MED-01,S003,医疗物资,B,0.43597365926371245
71,S003-MED-01,S003,医疗物资,C,0.4178413183343922
72,S003-WAT-01,S003,饮用水,A,0.3485527702872956
73,S003-WAT-01,S003,饮用水,B,0.39397029284860685
